Source;Target;Type;Weight
895.0;361;Directed;4
1467.0;362;Directed;1
1670.0;363;Directed;1
1632.0;364;Directed;2
1571.0;365;Directed;1
895.0;366;Directed;4
1361.0;367;Directed;4
895.0;368;Directed;4
1601.0;369;Directed;9
895.0;370;Directed;1
895.0;371;Directed;4
1601.0;372;Directed;2
895.0;373;Directed;4
1670.0;374;Directed;1
2080.0;374;Directed;1
1361.0;375;Directed;4
895.0;376;Directed;4
895.0;377;Directed;4
895.0;378;Directed;4
1467.0;378;Directed;1
1632.0;378;Directed;1
1825.0;378;Directed;2
2011.0;378;Directed;1
895.0;379;Directed;4
1632.0;380;Directed;1
1928.0;381;Directed;1
1928.0;382;Directed;2
;383;Directed;1
;384;Directed;8
1452.0;385;Directed;1
2013.0;386;Directed;3
;387;Directed;5
;388;Directed;1
1452.0;389;Directed;1
895.0;390;Directed;3
1571.0;390;Directed;4
1601.0;390;Directed;2
2011.0;390;Directed;1
;391;Directed;1
1455.0;391;Directed;2
2034.0;391;Directed;2
1632.0;392;Directed;1
2027.0;393;Directed;1
1452.0;394;Directed;1
;395;Directed;8
764.0;395;Directed;2
;395;Directed;1
2013.0;396;Directed;1
1128.0;397;Directed;1
2158.0;397;Directed;2
1632.0;398;Directed;1
2027.0;399;Directed;1
666.0;400;Directed;8
902.0;400;Directed;5
1663.0;400;Directed;1
2011.0;400;Directed;1
1467.0;401;Directed;3
1467.0;402;Directed;1
895.0;403;Directed;4
895.0;404;Directed;4
895.0;405;Directed;4
895.0;406;Directed;4
884.0;407;Directed;1
1746.0;407;Directed;2
1601.0;408;Directed;8
895.0;409;Directed;4
1670.0;410;Directed;1
2080.0;410;Directed;1
1065.0;411;Directed;2
1940.0;412;Directed;3
895.0;413;Directed;4
895.0;414;Directed;2
1132.0;414;Directed;23
1467.0;414;Directed;65
1601.0;414;Directed;9
1632.0;414;Directed;3
1753.0;414;Directed;4
1825.0;414;Directed;13
1938.0;414;Directed;4
2011.0;414;Directed;1
